2011-05-19\2011-05-20|71512787066683300|194275195|jsocrates|sócrates|1|AVALIANDO -&gt| rejeitando artistas" d milhares d MILHÕES -&gt| 1ª LEGISLATURA de SÓCRATES foi POSITIVA//MAIORIA com evolução//AVANÇO d´APLAUDIR!"
2011-05-20\2011-05-21|71670797915262900|7069902|flouca|louçã|1|já dei conta “@camandro: Os debates sem o Louçã não têm tanta piada! RT @ajsborges: O Passos está a safar-se”
2011-05-20\2011-05-21|71921415082881000|41205640|jsocrates|sócrates|1|Sócrates acusa PSD de querer pôr os cidadãos a pagar mais pelo SNS  http://j.mp/joKVW4  E os recibos verdes? O Sócrates já os lixou e bem!
2011-05-20\2011-05-21|71683339949572000|86429346|jsocrates|sócrates|1|RT @AldaTelles: Sócrates esteve seguro como expectável. PPC melhor que o expectável. Sócrates poupou PPC. PP… (cont) http://deck.ly/~6yFRE
2011-05-16\2011-05-17|70515010752888800|53657524|jsocrates|sócrates|1|Discordo, da grande fatia, do povo que acredita que Sócrates é caloteiro, a verdade é que pagou e bem pelo seu curso
2011-05-16\2011-05-17|70216271991554000|140091998|jsocrates|sócrates|1|Jerónimo hoje mais agerrido. Mas ainda longe de Sócrates. #debate
2011-05-17\2011-05-18|70585954838130600|12610492|flouca|louçã|1|Essa dos gráficos viciados já não pega ó @passoscoelho... O Portas já tinha tentado essa. Entrada a pés juntos do Louçã, sem falta
2011-05-17\2011-05-18|70645356412669900|21935812|flouca|louçã|1|LOL RT: @ChicodeOeiras Golo!!!!!!!!! é de Louçã! Goooooooooooooooooo(...)olo RT @fcancio: olha o momento da madeira.
2011-05-20\2011-05-21|72006030715912100|14975487|jsocrates|josé sócrates|1|Li e Gostei: Sócrates não perde -     Ainda ontem escrevia aqui que o PS e José Sócrates são imbatíveis. Isto pelo m... http://ow.ly/1cNcvj
2011-05-20\2011-05-21|71681405180055500|71307689|jsocrates|sócrates|1|Entre tanta merda, ainda consigo dizer que o ti #Sócrates é o indicado. #e2011pt #debate #ps
2011-05-13\2011-05-14|69182065094041600|42029230|pportas|paulo portas|1|a direita PSD ficou ressabiada com Paulo Portas
2011-05-13\2011-05-14|69166509066420200|16127941|pportas|portas|1|DRAMA: Portas é melhor que Coelho. HORROR: Clara de Sousa segurou a vela.
2011-05-13\2011-05-14|69245586381078500|11819792|pportas|portas|1|E de súbito Portas parece o mais ponderado, o mais experiente, o mais confiável !  @pfigas: @horacioazevedo
2011-05-13\2011-05-14|69391082387021800|18016856|pportas|paulo portas|1|Foi impressão minha ou ontem o Dr. Paulo Portas deu uma coça ao Dr. Passos Coelho? #debate
2011-05-13\2011-05-14|69391370112077800|44609080|pportas|paulo portas|1|N foi impressão,aquilo foi mm goleada RT @dtcnunes:Foi impressão minha ou ontem o Dr. Paulo Portas deu 1a coça ao Dr. Passos Coelho? #debate
2011-05-13\2011-05-14|69138362488983500|53149244|jsocrates|sócrates|1|one can only hope RT“@joaomiranda: Portanto, Portas tirou mais uns votos ao PSD e reforçou a liderança de Sócrates, foi isso?”
2011-05-13\2011-05-14|69142500849356800|18063058|jsocrates|sócrates|1|Passos Coelho vs Paulo Portas = Sócrates Win!
2011-05-13\2011-05-14|69205116942696400|17624543|pportas|portas|1|portas foi hábil a salientar as debilidades d @passoscoelho. este ñ conseguiu entalar portas em nada, q m lembre.
